site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
6721,no,98,52,3,74
6721,no,93,51,4,68
6721,no,108,61,6,47
6721,no,90,55,0,88
6721,no,99,52,7,39
6721,no,87,47,5,30
6721,no,99,62,3,62
6721,no,58,41,0,49
6721,no,83,56,6,70
6721,no,61,49,0,50
6721,no,95,57,0,50
6721,no,72,41,0,49
6721,no,90,45,0,37
6721,no,99,56,0,61
6721,no,102,60,0,53
6721,no,56,53,0,78
6721,no,81,41,0,29
6721,no,97,56,9,32
6721,no,69,40,0,38
6721,no,65,42,0,34
6721,no,87,47,0,39
6721,no,86,51,0,73
6721,no,113,64,6,58
6721,no,96,51,0,41
6721,no,73,43,0,36
6721,no,98,49,0,57
6721,no,71,58,3,94
6721,no,67,34,4,22
6721,no,72,42,5,26
6721,no,99,58,0,53
